block,pot,position,sample_id,species,seedling_id,seed_weight_g,seed_number,seed_notes
A,63,12,A63-12,ABAR,531,0.0217,6,
A,64,1,A64-1,ABAR,532,,,
A,64,2,A64-2,RCAES,533,,,
A,64,3,A64-3,ABIG,534,,,
A,64,4,A64-4,PLAB,535,,,
A,64,5,A64-5,ABAR,536,,,
A,64,6,A64-6,ABIG,537,,,
A,64,7,A64-7,PLAB,538,,,
A,64,8,A64-8,RCAES,539,,,
A,64,9,A64-9,ABAR,540,0.0064,1,
A,65,1,A65-1,RCAES,541,,,
A,65,2,A65-2,PLAB,542,,,
A,65,3,A65-3,RCAES,543,,,
A,65,4,A65-4,PLAB,544,,,
A,65,5,A65-5,ABIG,545,,,
A,65,6,A65-6,ABAR,546,0.0193,5,
A,65,7,A65-7,ABIG,547,,,
A,65,8,A65-8,ABAR,548,0.0076,3,
A,65,9,A65-9,ABAR,549,0.0396,12,
A,66,1,A66-1,RCAES,550,,,
A,66,2,A66-2,PLAB,551,,,
A,66,3,A66-3,RCAES,552,,,
A,66,4,A66-4,ABIG,553,,,
A,66,5,A66-5,ABAR,554,,,
A,66,6,A66-6,ABIG,555,,,
A,66,7,A66-7,ABAR,556,0.0071,1,
A,66,8,A66-8,PLAB,557,,,
A,66,9,A66-9,ABAR,558,0.0084,2,
A,67,1,A67-1,PLAB,559,,,
A,67,2,A67-2,RCAES,560,,,
A,67,3,A67-3,ABAR,561,0.021,4,
A,67,4,A67-4,ABAR,562,0.0067,1,
A,67,5,A67-5,ABAR,563,,,
A,67,6,A67-6,ABAR,564,0.0222,4,
A,67,7,A67-7,ABAR,565,,,
A,67,8,A67-8,ABAR,566,0.0247,3,
A,67,9,A67-9,PLAB,567,,,
A,67,10,A67-10,ABIG,568,,,
A,67,11,A67-11,RCAES,569,,,
A,67,12,A67-12,ABIG,570,0.0134,,
A,68,1,A68-1,ABIG,571,,,
A,68,2,A68-2,PLAB,572,,,
A,68,3,A68-3,ABAR,573,,,
A,68,4,A68-4,ABIG,574,,,
A,68,5,A68-5,ABAR,575,,,
A,68,6,A68-6,ABAR,576,,,
A,68,7,A68-7,ABAR,577,,,
A,68,8,A68-8,ABAR,578,0.0161,1,
A,68,9,A68-9,RCAES,579,,,
A,68,10,A68-10,PLAB,580,,,
A,68,11,A68-11,RCAES,581,,,
A,68,12,A68-12,ABAR,582,0.0102,3,
A,69,1,A69-1,ABAR,583,0.0266,6,
A,69,2,A69-2,ABAR,584,0.0151,1,
A,69,3,A69-3,ABIG,585,,,
A,69,4,A69-4,RCAES,586,,,
A,69,5,A69-5,ABAR,587,0.0058,1,
A,69,6,A69-6,ABAR,588,,,
A,69,7,A69-7,PLAB,589,,,
